title,score,link
How We Broke Top AI Agent Benchmarks: And What Comes Next,411 points,https://rdi.berkeley.edu/blog/trustworthy-benchmarks-cont/
"AI Will Be Met with Violence, and Nothing Good Will Come of It",78 points,https://www.thealgorithmicbridge.com/p/ai-will-be-met-with-violence-and
No one owes you supply-chain security,9 points,https://purplesyringa.moe/blog/no-one-owes-you-supply-chain-security/
Cirrus Labs to join OpenAI,270 points,https://cirruslabs.org/
How a dancer with ALS used brainwaves to perform live,50 points,https://www.electronicspecifier.com/products/sensors/how-a-dancer-with-als-used-brainwaves-to-perform-live/
High-Level Rust: Getting 80% of the Benefits with 20% of the Pain,44 points,https://hamy.xyz/blog/2026-01_high-level-rust
Starfling: A one-tap endless orbital slingshot game in a single HTML file,596 points,https://playstarfling.com
Midnight Captain – A midnight commander inspired file manager,34 points,https://github.com/duguyue100/midnight-captain
The AI Layoff Trap,10 points,https://arxiv.org/abs/2603.20617
Bild AI (YC W25) Is Hiring a Founding Product Engineer,0 points,https://www.ycombinator.com/companies/bild-ai/jobs/dDMaxVN-founding-product-engineer
Italo Calvino: A traveller in a world of uncertainty,117 points,https://www.historytoday.com/archive/portrait-author-historian/italo-calvino-traveller-world-uncertainty
AI assistance when contributing to the Linux kernel,505 points,https://github.com/torvalds/linux/blob/master/Documentation/process/coding-assistants.rst
Lawyer behind AI psychosis cases warns of mass casualty risks,9 points,https://techcrunch.com/2026/03/15/lawyer-behind-ai-psychosis-cases-warns-of-mass-casualty-risks/
"Launch HN: Twill.ai (YC S25) – Delegate to cloud agents, get back PRs",76 points,https://twill.ai
Ask HN: Do you trust AI agents with API keys / private keys?,8 points,https://news.ycombinator.com/item?id=47736831
We've raised $17M to build what comes after Git,333 points,https://blog.gitbutler.com/series-a
